url,title,host,location,room_type,bed,bath,feat_amenities,rate,reviews,price
https://www.airbnb.com/rooms/plus/28490461?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,,,,,,,,,,
https://www.airbnb.com/rooms/16940105?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Encantador Departamento todo amoblado y equipado.,Carmen,Barranco,2 bedrooms,2 beds,2.5 baths,Show all 36 amenities,4.85,(71 reviews),€31
https://www.airbnb.com/rooms/40779325?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Amazing and Extremly Central Apartment II,Patricia,Cercado de Lima,1 bedroom,1 bed,1 shared bath,Show all 28 amenities,,,€6
https://www.airbnb.com/rooms/plus/20785160?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,,,,,,,,,,
https://www.airbnb.com/rooms/37021145?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,"Brand New Lima Apartament, Barranco/Miraflores",Jose,Lima,1 bedroom,2 beds,1 bath,Show all 49 amenities,,,€24
https://www.airbnb.com/rooms/40678508?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Barranco Apartment,Alejandro,Barranco,1 bedroom,1 bed,1 bath,Show all 10 amenities,,,€16
https://www.airbnb.com/rooms/12523602?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,"Cozy room, Nice apartment, Awesome roomies! #1",Clau,Magdalena del Mar,1 bedroom,1 bed,2.5 shared baths,Show all 29 amenities,4.84,(168 reviews),€8
https://www.airbnb.com/rooms/plus/22123523?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,,,,,,,,,,
https://www.airbnb.com/rooms/plus/19293570?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,,,,,,,,,,
https://www.airbnb.com/rooms/37916930?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,Nice and cozy studio in Miraflores,Daniella,Miraflores,Studio,1 bed,1 bath,Show all 19 amenities,,,€29
https://www.airbnb.com/rooms/28737494?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=9a33d1da-7da0-1427-6699-8847606e5336&federated_search_id=7de55364-c90a-4a89-910f-79dd7552a327,La mejor vista de Lima a 500 m de CE de S. Isidro,Patricia,"Lince, Lima Perú",1 bedroom,1 bed,1 bath,Show all 32 amenities,4.84,(74 reviews),€31
https://www.airbnb.com/rooms/18193017?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Habitación confortable en ático de Lima-Perú.,Shelton,Lima,1 bedroom,1 bed,1 shared bath,Show all 18 amenities,4.83,(93 reviews),€10
https://www.airbnb.com/rooms/22842091?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Nice Apartment Near the Heart of Miraflores,Emeryk,Cercado de Lima,1 bedroom,1 bed,1 bath,Show all 27 amenities,4.91,(33 reviews),€30
https://www.airbnb.com/rooms/15128346?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,"Private Room & Bath, Ocean View in Miraflores Apt!",Karen And Manolo,Miraflores,1 bedroom,3 beds,1 private bath,Show all 20 amenities,4.16,(139 reviews),€16
https://www.airbnb.com/rooms/31838014?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Acogedor mini estudio con terraza,Maria Luisa,San Isidro,1 bedroom,1 bed,1 bath,Show all 24 amenities,4.90,(30 reviews),€23
https://www.airbnb.com/rooms/38555932?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Habitación con baño privado frontera Miraflores.,Maria,Cercado de Lima,1 bedroom,1 bed,1.5 baths,Show all 24 amenities,5.0,(10 reviews),€9
https://www.airbnb.com/rooms/37334562?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Habitación para 2 / Room for 2 - Barranco,Silvana,Cercado de Lima,1 bedroom,1 bed,1 private bath,Show all 29 amenities,4.94,(36 reviews),€10
https://www.airbnb.com/rooms/36537961?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,Departamento súper confortable,Michel,Miraflores,1 bedroom,1 bed,1 bath,Show all 23 amenities,,,€16
https://www.airbnb.com/rooms/38238093?location=Lima%2C%20Peru&adults=1&check_in=2020-02-01&check_out=2020-02-08&previous_page_section_name=1000&search_id=ea6d6567-5610-58f1-8c6a-daed260641a1&federated_search_id=92e75edf-4f24-41ff-9492-16120288cd6d,B & B - Private Room III - Traveler Exclusive Apt.,Martin,Miraflores,1 bedroom,1 bed,1 shared bath,Show all 32 amenities,4.84,(19 reviews),€17
